mavpackettype,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH,_t,t
XKF1,10704883,1,0.0,0.0,0.0,-8.05010786280036e-05,-0.000186729899724,0.0624397099018096,-0.0850034430623054,0.0,0.0,-0.0081856362521648,0.0,0.0,0.0,0.0,1768451519.6602492,7.960148
XKF1,10704883,0,0.0,0.0,0.0,-0.0002969604101963,0.0002475910005159,0.0625190362334251,-0.0849376544356346,0.0,0.0,-0.008139906451106,0.0,0.0,0.0,0.0,1768451519.6602492,7.960148
XKF1,10744867,1,0.0,0.0,0.0,-1.2091655662516132e-05,-0.0002070224436465,0.0664121359586715,-0.0900478586554527,0.0,0.0,-0.0106116505339741,0.0,0.0,0.0,0.0,1768451519.7002332,8.000132
XKF1,10744867,0,0.0,0.0,0.0,-0.0002990197972394,0.0002426966384518,0.0664873048663139,-0.0899965688586235,0.0,0.0,-0.0105620361864566,0.0,0.0,0.0,0.0,1768451519.7002332,8.000132
XKF1,10784851,1,0.0,0.0,0.0,-3.3110038202721626e-05,-0.0002244849310955,0.069953367114067,-0.080894835293293,0.0,0.0,-0.0121877677738666,0.0,0.0,0.0,0.0,1768451519.7402172,8.040116
XKF1,10784851,0,0.01,0.0,0.0,-0.0003121336048934,0.0002587424532976,0.0700774267315864,-0.0807792171835899,0.0,0.0,-0.0121351713314652,0.0,0.0,0.0,0.0,1768451519.7402172,8.040116
XKF1,10824835,0,0.01,0.0,0.0,-0.0003660259535536,0.0002865867281798,0.0730861127376556,-0.0751742720603942,0.0,0.0,-0.0153425112366676,0.0,0.0,0.0,0.0,1768451519.7802012,8.0801
XKF1,10824835,1,0.0,0.0,0.0,-8.518592949258164e-05,-0.0002592400705907,0.0729014873504638,-0.075320266187191,0.0,0.0,-0.015399525873363,0.0,0.0,0.0,0.0,1768451519.7802012,8.0801
XKF1,10864819,0,0.01,0.0,0.0,-0.000390478351619,0.0003572455607354,0.0756874457001686,-0.077807568013668,0.0,0.0,-0.0176720563322305,0.0,0.0,0.0,0.0,1768451519.8201852,8.120084
XKF1,10864819,1,0.0,0.0,0.0,-8.067037560977042e-05,-0.0002443454577587,0.075518399477005,-0.0779501870274543,0.0,0.0,-0.0177358761429786,0.0,0.0,0.0,0.0,1768451519.8201852,8.120084
XKF1,10904803,0,0.01,0.0,0.0,-0.000437340902863,0.0003955589199904,0.0780237093567848,-0.0690171271562576,0.0,0.0,-0.0194685477763414,0.0,0.0,0.0,0.0,1768451519.8601692,8.160068
XKF1,10904803,1,0.0,0.0,0.0,-0.000122379467939,-0.0002298800100106,0.0778311043977737,-0.0691844373941421,0.0,0.0,-0.0195362102240324,0.0,0.0,0.0,0.0,1768451519.8601692,8.160068
XKF1,10944787,0,0.01,0.0,0.0,-0.0004720533324871,0.0004143610422033,0.0800701454281807,-0.0580317378044128,0.0,0.0,-0.0207882784307003,0.0,0.0,0.0,0.0,1768451519.9001532,8.200052
XKF1,10944787,1,0.0,0.0,0.0,-0.000110121887701,-0.0001900853239931,0.079872153699398,-0.0581962801516056,0.0,0.0,-0.020862653851509,0.0,0.0,0.0,0.0,1768451519.9001532,8.200052
XKF1,10984771,1,0.0,0.0,0.0,-0.0001809797540772,-0.0001760406012181,0.0815768167376518,-0.0428851693868637,0.0,0.0,-0.0215449389070272,0.0,0.0,0.0,0.0,1768451519.9401371,8.240036
XKF1,10984771,0,0.01,0.0,0.0,-0.000515830470249,0.0004398709861561,0.0818367078900337,-0.042656373232603,0.0,0.0,-0.0214620232582092,0.0,0.0,0.0,0.0,1768451519.9401371,8.240036
XKF1,11024755,1,0.0,0.0,0.0,-0.0001685648603597,-0.0002045333676505,0.0833230391144752,-0.0154769150540232,0.0,0.0,-0.0198235940188169,0.0,0.0,0.0,0.0,1768451519.9801211,8.28002
XKF1,11024755,0,0.01,0.0,0.0,-0.0005296060699038,0.000487152574351,0.0835997238755226,-0.0152442194521427,0.0,0.0,-0.0197314284741878,0.0,0.0,0.0,0.0,1768451519.9801211,8.28002
XKF1,11064739,0,0.01,0.0,0.0,-0.0005981951835565,0.0005275060539133,0.0851333513855934,0.0214699767529964,0.0,0.0,-0.0176826287060976,0.0,0.0,0.0,0.0,1768451520.0201051,8.320004
XKF1,11064739,1,0.0,0.0,0.0,-0.000211025646422,-0.0001809726381907,0.0848608613014221,0.0212366431951522,0.0,0.0,-0.0177853666245937,0.0,0.0,0.0,0.0,1768451520.0201051,8.320004
XKF1,11104723,0,0.01,0.0,0.0,-0.000642349361442,0.0005807668785564,0.0862244293093681,0.0485544018447399,0.0,0.0,-0.0169216748327016,0.0,0.0,0.0,0.0,1768451520.060089,8.359988
XKF1,11104723,1,0.0,0.0,0.0,-0.0002935320371761,-0.0002071865455945,0.0858550369739532,0.0482269674539566,0.0,0.0,-0.0170351918786764,0.0,0.0,0.0,0.0,1768451520.060089,8.359988
XKF1,11144707,1,0.0,0.0,0.0,-0.0003082157927565,-0.0002253061975352,0.0864486992359161,0.0334803164005279,0.0,0.0,-0.0173910073935985,0.0,0.0,0.0,0.0,1768451520.100073,8.399972
XKF1,11144707,0,0.01,0.0,0.0,-0.0006908231880515,0.0006063965847715,0.0868339240550994,0.0338078252971172,0.0,0.0,-0.0172631759196519,0.0,0.0,0.0,0.0,1768451520.100073,8.399972
XKF1,11184691,1,0.0,0.0,0.01,-0.0003098338493146,-0.0002667901280801,0.0869647115468978,0.0212967824190855,0.0,0.0,-0.0172749515622854,0.0,0.0,0.0,0.0,1768451520.140057,8.439956
XKF1,11184691,0,0.01,0.0,0.01,-0.0007205179426819,0.0006461789598688,0.0873425155878067,0.0216299649327993,0.0,0.0,-0.0171341076493263,0.0,0.0,0.0,0.0,1768451520.140057,8.439956
XKF1,11224675,1,0.0,0.0,0.01,-0.0003553064016159,-0.0002752126019913,0.087110660970211,0.0122832786291837,0.0,0.0,-0.0178551916033029,0.0,0.0,0.0,0.0,1768451520.180041,8.47994
XKF1,11224675,0,0.01,0.0,0.01,-0.0007600326207466,0.0006829088670201,0.0875080004334449,0.012614551000297,0.0,0.0,-0.0177017208188772,0.0,0.0,0.0,0.0,1768451520.180041,8.47994
XKF1,11264659,1,0.0,0.0,0.01,-0.0004141408135183,-0.0002336464676773,0.0871470049023628,0.0035700795706361,0.0,0.0,-0.0179763585329055,0.0,0.0,0.0,0.0,1768451520.220025,8.519924
