mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t,t
IMU,33864782,0,0.8943835496902466,-0.04548942670226097,-0.06869742274284363,2.903700590133667,1.493856430053711,-9.017437934875488,0,0,27.127517700195312,1,1,1000,1000,1768451542.8201482,32.119647
IMU,33864782,1,0.8935527801513672,-0.04534108191728592,-0.06937709450721741,2.978710651397705,1.477830410003662,-9.057204246520996,0,0,27.127517700195312,1,1,760,799,1768451542.8201482,32.119647
IMU,33884774,0,0.9027994275093079,-0.0548265278339386,-0.056176237761974335,2.9136178493499756,1.3558553457260132,-8.809203147888184,0,0,27.128707885742188,1,1,1000,1000,1768451542.84014,32.139639
IMU,33884774,1,0.9029549956321716,-0.054803796112537384,-0.05620608478784561,2.846208095550537,1.339342474937439,-8.888297080993652,0,0,27.128707885742188,1,1,760,799,1768451542.84014,32.139639
IMU,33904766,0,0.8856619000434875,-0.06571171432733536,-0.051421988755464554,2.8632354736328125,1.4535142183303833,-8.764148712158203,0,0,27.129899978637695,1,1,1000,1000,1768451542.8601322,32.159631
IMU,33904766,1,0.8856425285339355,-0.06573396921157837,-0.05146291106939316,2.8337793350219727,1.4261122941970825,-8.769855499267578,0,0,27.129899978637695,1,1,760,799,1768451542.8601322,32.159631
IMU,33924758,0,0.8818051815032959,-0.06324636936187744,-0.046058349311351776,2.8699676990509033,1.3765658140182495,-8.478096961975098,0,0,27.131092071533203,1,1,1000,1000,1768451542.880124,32.179623
IMU,33924758,1,0.8820997476577759,-0.06325600296258926,-0.04601874575018883,2.895165205001831,1.4159622192382812,-8.539252281188965,0,0,27.131092071533203,1,1,760,799,1768451542.880124,32.179623
IMU,33944750,0,0.8779987096786499,-0.0621480718255043,-0.03715738281607628,2.906048536300659,1.2856652736663818,-8.46418571472168,0,0,27.132282257080078,1,1,1000,1000,1768451542.9001162,32.199615
IMU,33944750,1,0.8782178163528442,-0.06163519620895386,-0.03718717396259308,2.8349533081054688,1.3075299263000488,-8.430509567260742,0,0,27.132282257080078,1,1,760,799,1768451542.9001162,32.199615
IMU,33964742,1,0.8768839836120605,-0.07376431673765182,-0.03569132089614868,2.9770870208740234,1.2466291189193726,-8.395660400390625,0,0,27.133472442626953,1,1,760,799,1768451542.920108,32.219607
IMU,33964742,0,0.8770904541015625,-0.07407137751579285,-0.035600148141384125,2.9615697860717773,1.3086960315704346,-8.361495971679688,0,0,27.133472442626953,1,1,1000,1000,1768451542.920108,32.219607
IMU,33984734,1,0.8859752416610718,-0.07883469760417938,-0.033948417752981186,3.0478296279907227,1.1823434829711914,-8.20154857635498,0,0,27.13466453552246,1,1,760,799,1768451542.9401002,32.239599
IMU,33984734,0,0.8857854604721069,-0.0787108987569809,-0.033772874623537064,2.903374195098877,1.2161550521850586,-8.277307510375977,0,0,27.13466453552246,1,1,1000,1000,1768451542.9401002,32.239599
IMU,34004726,1,0.8828409910202026,-0.08100518584251404,-0.021380744874477386,2.9805991649627686,1.1372860670089722,-8.095788955688477,0,0,27.135854721069336,1,1,760,799,1768451542.960092,32.259591
IMU,34004726,0,0.8830093145370483,-0.0808517262339592,-0.02096952497959137,3.0086095333099365,1.1836373805999756,-8.103007316589355,0,0,27.135854721069336,1,1,1000,1000,1768451542.960092,32.259591
IMU,34024718,0,0.8742901086807251,-0.09077516198158264,-0.0030665488447993994,2.7936360836029053,1.2176761627197266,-7.881739616394043,0,0,27.137046813964844,1,1,1000,1000,1768451542.9800842,32.279583
IMU,34024718,1,0.8744292259216309,-0.0907018855214119,-0.0035879146307706833,2.8590545654296875,1.2192130088806152,-7.886355400085449,0,0,27.137046813964844,1,1,760,799,1768451542.9800842,32.279583
IMU,34044710,1,0.8678003549575806,-0.10647749155759811,0.0005977788823656738,2.983729839324951,1.2985955476760864,-7.54734992980957,0,0,27.13823699951172,1,1,760,799,1768451543.000076,32.299575
IMU,34044710,0,0.8677248358726501,-0.10704038292169571,0.0001920587819768116,2.911771774291992,1.1937438249588013,-7.570466041564941,0,0,27.13823699951172,1,1,1000,1000,1768451543.000076,32.299575
IMU,34064702,0,0.8682307004928589,-0.10708682984113693,-0.014178616926074028,2.9488699436187744,1.2042009830474854,-7.400566577911377,0,0,27.139427185058594,1,1,1000,1000,1768451543.0200682,32.319567
IMU,34064702,1,0.8690856099128723,-0.10717791318893433,-0.014006029814481735,2.912055015563965,1.0322840213775635,-7.35292387008667,0,0,27.139427185058594,1,1,760,799,1768451543.0200682,32.319567
IMU,34084694,1,0.8521918058395386,-0.10433271527290344,-0.006064013112336397,2.9214887619018555,1.1130399703979492,-7.3028693199157715,0,0,27.1406192779541,1,1,760,799,1768451543.04006,32.339559
IMU,34084694,0,0.8525450229644775,-0.10416477918624878,-0.005979139823466539,2.9707984924316406,1.1360329389572144,-7.253933906555176,0,0,27.1406192779541,1,1,1000,1000,1768451543.04006,32.339559
IMU,34104686,1,0.8473796844482422,-0.10814674943685532,0.009098168462514877,2.9539549350738525,1.1265254020690918,-7.226146697998047,0,0,27.141809463500977,1,1,760,799,1768451543.0600522,32.359551
IMU,34104686,0,0.8473670482635498,-0.10792621225118637,0.009590087458491325,2.8996081352233887,1.0512115955352783,-7.180823802947998,0,0,27.141809463500977,1,1,1000,1000,1768451543.0600522,32.359551
IMU,34124678,0,0.8397532105445862,-0.11004374176263809,0.019865211099386215,2.854037284851074,1.1533360481262207,-7.0956196784973145,0,0,27.14299964904785,1,1,1000,1000,1768451543.080044,32.379543
IMU,34124678,1,0.8398222923278809,-0.10963233560323715,0.019892361015081406,2.7706549167633057,1.188362956047058,-7.054029941558838,0,0,27.14299964904785,1,1,760,799,1768451543.080044,32.379543
IMU,34144670,1,0.8249226212501526,-0.112950898706913,0.005891294218599796,2.927445650100708,1.2327923774719238,-6.998723030090332,0,0,27.144189834594727,1,1,760,799,1768451543.1000361,32.399535
IMU,34144670,0,0.8249096870422363,-0.11306657642126083,0.005395524203777313,2.895195960998535,1.1985769271850586,-6.963254928588867,0,0,27.144189834594727,1,1,1000,1000,1768451543.1000361,32.399535
IMU,34164662,1,0.8306155800819397,-0.10265006124973297,0.00040283965063281357,3.038386583328247,1.0460994243621826,-6.766510486602783,0,0,27.145381927490234,1,1,760,799,1768451543.120028,32.419527
IMU,34164662,0,0.8310356736183167,-0.10171995311975479,0.0006860257126390934,3.055295944213867,1.011497974395752,-6.8301897048950195,0,0,27.145381927490234,1,1,1000,1000,1768451543.120028,32.419527
IMU,34184654,0,0.8208158016204834,-0.0874488428235054,0.0032251456286758184,2.9207763671875,1.147306203842163,-7.106435775756836,0,0,27.146570205688477,1,1,1000,1000,1768451543.1400201,32.439519
IMU,34184654,1,0.8208295702934265,-0.08748900890350342,0.003169149160385132,2.9035418033599854,1.0872437953948975,-7.068671703338623,0,0,27.146570205688477,1,1,760,799,1768451543.1400201,32.439519
IMU,34204646,1,0.8126358389854431,-0.09331394731998444,0.006208066828548908,2.7809739112854004,1.0040404796600342,-7.253630638122559,0,0,27.147762298583984,1,1,760,799,1768451543.1600122,32.459511
IMU,34204646,0,0.8125510215759277,-0.09340386092662811,0.005968751385807991,2.8630495071411133,1.0256339311599731,-7.170810699462891,0,0,27.147762298583984,1,1,1000,1000,1768451543.1600122,32.459511
IMU,34224638,1,0.8069520592689514,-0.09757057577371597,0.0046090190298855305,2.8959248065948486,0.8989002108573914,-7.161101341247559,0,0,27.148950576782227,1,1,760,799,1768451543.1800041,32.479503
IMU,34224638,0,0.8066699504852295,-0.09799018502235413,0.004832913167774677,2.856377601623535,0.8758859038352966,-7.247219085693359,0,0,27.148950576782227,1,1,1000,1000,1768451543.1800041,32.479503
IMU,34244630,0,0.7952008247375488,-0.10665886849164963,-0.0017581910360604525,2.8606057167053223,0.8642943501472473,-7.1236090660095215,0,0,27.1501407623291,1,1,1000,1000,1768451543.1999962,32.499495
IMU,34244630,1,0.7954246997833252,-0.10656969249248505,-0.0016993756871670485,2.8378612995147705,0.8848923444747925,-6.983212947845459,0,0,27.1501407623291,1,1,760,799,1768451543.1999962,32.499495
IMU,34264622,0,0.7695072889328003,-0.10089054703712463,0.0010842924239113927,2.8591933250427246,0.6750490665435791,-6.9926438331604,0,0,27.151330947875977,1,1,1000,1000,1768451543.219988,32.519487
IMU,34264622,1,0.7704346776008606,-0.10129214078187943,0.0013206987641751766,2.7715113162994385,0.6905100345611572,-7.001078128814697,0,0,27.151330947875977,1,1,760,799,1768451543.219988,32.519487
IMU,34284614,1,0.7477084994316101,-0.0896001085639,0.006488889921456575,2.7412333488464355,0.5658236145973206,-6.944568157196045,0,0,27.15252113342285,1,1,760,799,1768451543.2399802,32.539479
IMU,34284614,0,0.7478812336921692,-0.08964067697525024,0.006295852363109589,2.718973159790039,0.6213584542274475,-6.885724067687988,0,0,27.15252113342285,1,1,1000,1000,1768451543.2399802,32.539479
IMU,34304606,1,0.7254186868667603,-0.08950196951627731,0.016082003712654114,2.699413776397705,0.5654821395874023,-7.035151481628418,0,0,27.153709411621094,1,1,760,799,1768451543.259972,32.559471
IMU,34304606,0,0.7250492572784424,-0.08938782662153244,0.016048407182097435,2.6825342178344727,0.5379300117492676,-6.916168212890625,0,0,27.153709411621094,1,1,1000,1000,1768451543.259972,32.559471
IMU,34324598,0,0.709479570388794,-0.08396653831005096,0.02779577299952507,2.6848738193511963,0.47299009561538696,-6.971606254577637,0,0,27.15489959716797,1,1,1000,1000,1768451543.2799642,32.579463
