mavpackettype_imu,TimeUS_imu,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t_imu,t_imu,t_s,mavpackettype_rcou,TimeUS_rcou,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t_rcou,t_rcou
IMU,7484505,1,0.0003818058758042753,0.00026199338026344776,0.00016474304720759392,0.0019846251234412193,-0.002996038645505905,-9.81672477722168,0,0,25.484697341918945,1,1,760,799,1768451516.439871,5.73937,5.73937,RCOU,7504497,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4598632,5.759362
IMU,7504497,1,0.0003590166743379086,0.00031935772858560085,7.92097271187231e-05,0.0012227019760757685,-0.002977509517222643,-9.817138671875,0,0,25.48599624633789,1,1,760,799,1768451516.4598632,5.759362,5.759361999999999,RCOU,7504497,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4598632,5.759362
IMU,7524489,1,7.99191984697245e-05,0.00013475898595061153,-7.940741488710046e-05,0.0005195374833419919,-0.0016878482419997454,-9.81686782836914,0,0,25.4872989654541,1,1,760,799,1768451516.479855,5.779354,5.779354,RCOU,7504497,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4598632,5.759362
IMU,7544481,1,-0.00013968283019494265,0.00015565697685815394,0.0001713956444291398,-0.004240510053932667,-0.0022954666055738926,-9.813913345336914,0,0,25.48859977722168,1,1,760,799,1768451516.4998472,5.799346,5.799346,RCOU,7544481,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4998472,5.799346
IMU,7564473,1,0.0002901070984080434,0.00019427956431172788,0.00026582536520436406,-0.0022867759689688683,0.0005159322172403336,-9.818553924560547,0,0,25.489900588989258,1,1,760,799,1768451516.519839,5.819338,5.819338,RCOU,7584465,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.5398312,5.83933
IMU,7584465,1,0.0002480540133547038,6.325256981654093e-05,0.00021671588183380663,-0.0016076131723821163,-0.00144343008287251,-9.817415237426758,0,0,25.491201400756836,1,1,760,799,1768451516.5398312,5.83933,5.8393299999999995,RCOU,7584465,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.5398312,5.83933
IMU,7604457,1,0.0001698437990853563,5.333534500095993e-05,-0.000140106218168512,-0.0016338330460712314,0.0003924067714251578,-9.818305015563965,0,0,25.49250030517578,1,1,760,799,1768451516.559823,5.859322,5.859322,RCOU,7584465,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.5398312,5.83933
IMU,7624449,1,4.9366346502210945e-05,0.00020064861746504903,0.0001519884099252522,-0.001953018014319241,0.00065496691968292,-9.816864013671875,0,0,25.49380111694336,1,1,760,799,1768451516.5798151,5.879314,5.879314,RCOU,7624449,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.5798151,5.879314
IMU,7644441,1,5.178760602575494e-06,0.00015202791837509722,8.692077244631946e-05,-0.0020030175801366568,-0.0018603901844471693,-9.817427635192871,0,0,25.495101928710938,1,1,760,799,1768451516.599807,5.899306,5.899306,RCOU,7664433,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6197991,5.919298
IMU,7664433,1,2.1115497474966105e-06,0.0002593370736576617,0.00010100065992446616,-0.00011896134674316272,-0.0013049761764705181,-9.816904067993164,0,0,25.496402740478516,1,1,760,799,1768451516.6197991,5.919298,5.9192979999999995,RCOU,7664433,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6197991,5.919298
IMU,7684425,1,0.00014059316890779883,-9.98171599349007e-05,-0.00010860877227969468,-0.001605859026312828,-0.0013941996730864048,-9.817169189453125,0,0,25.49770164489746,1,1,760,799,1768451516.6397913,5.93929,5.93929,RCOU,7664433,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6197991,5.919298
IMU,7704417,1,0.0001953854225575924,0.00030177432927303016,-0.00012128797243349254,0.0008071790798567235,-0.0016826214268803596,-9.81577205657959,0,0,25.49900245666504,1,1,760,799,1768451516.6597831,5.959282,5.959282,RCOU,7704417,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6597831,5.959282
IMU,7724409,1,-4.870069824391976e-05,2.6444664399605244e-05,0.00011390883446438238,0.0007115832413546741,-0.00039379505324177444,-9.817116737365723,0,0,25.500301361083984,1,1,760,799,1768451516.6797752,5.979274,5.979273999999999,RCOU,7704417,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6597831,5.959282
IMU,7744401,1,0.00015790757606737316,0.00022793175594415516,3.8066236811573617e-06,0.000659607641864568,0.0005742536159232259,-9.818279266357422,0,0,25.501602172851562,1,1,760,799,1768451516.699767,5.999266,5.9992659999999995,RCOU,7744401,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.699767,5.999266
IMU,7764393,1,0.00014927086886018515,8.134409290505573e-05,6.202683289302513e-05,0.00012789799075108021,-0.0007793864351697266,-9.819178581237793,0,0,25.50290298461914,1,1,760,799,1768451516.7197592,6.019258,6.019258,RCOU,7744401,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.699767,5.999266
IMU,7784385,1,0.0003548931854311377,9.583958308212459e-05,0.00014225869381334633,-0.00020765812951140106,0.0010656609665602446,-9.816975593566895,0,0,25.50420379638672,1,1,760,799,1768451516.739751,6.03925,6.03925,RCOU,7784385,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.739751,6.03925
IMU,7804377,1,0.0003686430864036083,6.814312655478716e-05,-6.936387217137963e-05,-0.000723537930753082,-0.002464496996253729,-9.817353248596191,0,0,25.505502700805664,1,1,760,799,1768451516.7597432,6.059242,6.059241999999999,RCOU,7784385,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.739751,6.03925
IMU,7824369,1,0.0003057321300730109,0.00015708556747995317,9.768528980202973e-05,-0.00190606783144176,0.0018799034878611565,-9.817909240722656,0,0,25.50680160522461,1,1,760,799,1768451516.779735,6.079234,6.079234,RCOU,7824369,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.779735,6.079234
IMU,7844361,1,0.00015661936777178198,0.00016784388571977615,-7.194533827714622e-05,-0.0009621733915992081,-0.0006171324639581144,-9.819051742553711,0,0,25.508100509643555,1,1,760,799,1768451516.7997272,6.099226,6.099226,RCOU,7824369,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.779735,6.079234
IMU,7864353,1,3.150969496346079e-05,0.0005093492800369859,0.00019554329628590494,-0.0017905287677422166,-0.0018041273579001427,-9.815153121948242,0,0,25.5093994140625,1,1,760,799,1768451516.819719,6.119218,6.119218,RCOU,7864353,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.819719,6.119218
IMU,7884345,1,9.61078330874443e-05,7.10335370968096e-05,0.0001395564031554386,0.001070536905899644,-0.002191483275964856,-9.817215919494629,0,0,25.510700225830078,1,1,760,799,1768451516.8397112,6.13921,6.139209999999999,RCOU,7864353,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.819719,6.119218
IMU,7904337,1,0.00024879383272491395,0.00014838001516181976,5.9175312344450504e-05,-0.002300865948200226,-0.0020411652512848377,-9.818758010864258,0,0,25.511999130249023,1,1,760,799,1768451516.859703,6.159202,6.159202,RCOU,7904337,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.859703,6.159202
IMU,7924329,1,0.00020112098718527704,0.00016583173419348896,0.00028647901490330696,-0.0002480308758094907,-0.0004999151569791138,-9.817408561706543,0,0,25.51329803466797,1,1,760,799,1768451516.8796952,6.179194,6.179194,RCOU,7904337,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.859703,6.159202
IMU,7944321,1,0.00018687894043978304,0.0001815174036892131,0.0003083864285144955,-0.0019897366873919964,-0.000940252561122179,-9.817566871643066,0,0,25.514596939086914,1,1,760,799,1768451516.899687,6.199186,6.199186,RCOU,7944321,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.899687,6.199186
IMU,7964313,1,-1.2817465176340193e-05,8.436648204224184e-05,0.00016581715317443013,0.0016430248506367207,-0.0008331041899509728,-9.817201614379883,0,0,25.51589584350586,1,1,760,799,1768451516.9196792,6.219178,6.219177999999999,RCOU,7944321,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.899687,6.199186
IMU,7985138,1,7.444860239047557e-05,0.00016176422650460154,0.00016602558025624603,-0.0014310743426904082,0.0002324866654817015,-9.819528579711914,0,0,25.51732635498047,1,1,760,799,1768451516.940504,6.240003,6.240003,RCOU,7985138,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.940504,6.240003
IMU,8005130,1,0.00016871030675247312,0.00019302291912026703,8.049440657487139e-05,0.00030980640440247953,0.0011945924488827586,-9.815872192382812,0,0,25.51862335205078,1,1,760,799,1768451516.9604962,6.259995,6.259995,RCOU,8025122,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.980488,6.279987
IMU,8025122,1,0.00011338024341966957,2.0974257495254278e-05,0.00018441038264427334,0.00018882201402448118,-0.0007387705845758319,-9.817219734191895,0,0,25.519922256469727,1,1,760,799,1768451516.980488,6.279987,6.279986999999999,RCOU,8025122,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.980488,6.279987
IMU,8045114,1,5.270497058518231e-05,8.69065333972685e-05,0.00022338805138133466,-0.0013609828893095255,-0.0007426471565850079,-9.816283226013184,0,0,25.521221160888672,1,1,760,799,1768451517.0004802,6.299979,6.2999789999999996,RCOU,8025122,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.980488,6.279987
IMU,8065106,1,-0.00012896436965093017,0.00015018794510979205,0.00010964377725031227,0.0005302641075104475,-0.00151933659799397,-9.817699432373047,0,0,25.522520065307617,1,1,760,799,1768451517.020472,6.319971,6.319971,RCOU,8065106,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.020472,6.319971
IMU,8085098,1,0.0002920703846029937,-0.00011110106424894184,6.194369780132547e-05,0.0001068209603545256,-0.0003353975189384073,-9.81897258758545,0,0,25.523818969726562,1,1,760,799,1768451517.0404642,6.339963,6.339963,RCOU,8105090,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.060456,6.359955
IMU,8105090,1,0.00010539752838667482,0.00024227172252722085,0.00010496365575818345,-0.0024486235342919827,-0.0004182472184766084,-9.818426132202148,0,0,25.525115966796875,1,1,760,799,1768451517.060456,6.359955,6.359954999999999,RCOU,8105090,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.060456,6.359955
IMU,8125082,1,0.00020008994033560157,0.00012859917478635907,0.00021549215307459235,-0.002591402968391776,0.000437744747614488,-9.816873550415039,0,0,25.52641487121582,1,1,760,799,1768451517.0804482,6.379947,6.379947,RCOU,8105090,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.060456,6.359955
IMU,8145074,1,0.00015181791968643665,3.5377997846808285e-05,3.274044047429925e-06,-0.0023762087803333998,-0.0009063743054866791,-9.816537857055664,0,0,25.527713775634766,1,1,760,799,1768451517.10044,6.399939,6.399939,RCOU,8145074,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.10044,6.399939
IMU,8165066,0,0.00013892719289287925,0.00012099807645427063,0.00012294441694393754,-0.0015994179993867874,-0.0013518673367798328,-9.817424774169922,0,0,25.529010772705078,1,1,1000,1000,1768451517.1204321,6.419931,6.419931,RCOU,8185058,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.1404243,6.439923
IMU,8185058,0,0.00016601703828200698,8.146003528963774e-05,4.002541027148254e-05,-0.001256365212611854,-0.0010966812260448933,-9.816473960876465,0,0,25.530309677124023,1,1,1000,1000,1768451517.1404243,6.439923,6.439922999999999,RCOU,8185058,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.1404243,6.439923
IMU,8205050,0,0.00016186651191674173,0.00015762992552481592,0.0001695340615697205,-0.0024091978557407856,-0.0010217251256108284,-9.817644119262695,0,0,25.531606674194336,1,1,1000,1000,1768451517.1604161,6.459915,6.459915,RCOU,8185058,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.1404243,6.439923
IMU,8225042,0,6.593194120796397e-05,0.00019186618737876415,5.796478581032716e-05,-0.000494601612444967,-0.0006660365033894777,-9.818239212036133,0,0,25.53290557861328,1,1,1000,1000,1768451517.1804082,6.479907,6.479907,RCOU,8225042,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.1804082,6.479907
IMU,8245034,0,0.00012575303844641894,0.00011782984074670821,8.582141890656203e-05,0.00101490190718323,-0.001988721080124378,-9.81640625,0,0,25.534202575683594,1,1,1000,1000,1768451517.2004,6.499899,6.499899,RCOU,8265026,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.2203922,6.519891
IMU,8265026,0,0.0001447039976483211,0.00012350176984909922,0.00013425129873212427,-0.0008525366429239511,-0.0012067186180502176,-9.816557884216309,0,0,25.535499572753906,1,1,1000,1000,1768451517.2203922,6.519891,6.519890999999999,RCOU,8265026,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.2203922,6.519891
IMU,8285018,0,0.00011274889402557164,0.00014573587395716459,0.0001505968248238787,-7.171937613748014e-05,-0.0014431423041969538,-9.817858695983887,0,0,25.53679847717285,1,1,1000,1000,1768451517.240384,6.539883,6.539883,RCOU,8265026,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.2203922,6.519891
